Rank,Company,Symbol,Weight
1,Apple Inc.,AAPL,3.612720
2,Microsoft Corporation,MSFT,2.973790
3,Amazon.com Inc.,AMZN,2.449064
4,Facebook Inc. Class A,FB,1.855234
5,JPMorgan Chase & Co.,JPM,1.697923
6,Berkshire Hathaway Inc. Class B,BRK.B,1.670409
7,Johnson & Johnson,JNJ,1.539323
8,Exxon Mobil Corporation,XOM,1.461632
9,Alphabet Inc. Class C,GOOG,1.371021
10,Alphabet Inc. Class A,GOOGL,1.361868
11,Bank of America Corporation,BAC,1.308554
12,Wells Fargo & Company,WFC,1.113558
13,AT&T Inc.,T,0.990355
14,Chevron Corporation,CVX,0.967220
15,Home Depot Inc.,HD,0.959822
16,UnitedHealth Group Incorporated,UNH,0.951162
17,Visa Inc. Class A,V,0.936514
18,Procter & Gamble Company,PG,0.926930
19,Pfizer Inc.,PFE,0.909028
20,Intel Corporation,INTC,0.907323
21,Verizon Communications Inc.,VZ,0.907154
22,Cisco Systems Inc.,CSCO,0.869351
23,Citigroup Inc.,C,0.862316
24,Boeing Company,BA,0.836725
25,Comcast Corporation Class A,CMCSA,0.807906
26,AbbVie Inc.,ABBV,0.784162
27,Coca-Cola Company,KO,0.749077
28,DowDuPont Inc.,DWDP,0.723721
29,PepsiCo Inc.,PEP,0.711220
30,Philip Morris International Inc.,PM,0.707041
31,Walt Disney Company,DIS,0.694468
32,Merck & Co. Inc.,MRK,0.678808
33,Mastercard Incorporated Class A,MA,0.677659
34,Walmart Inc.,WMT,0.663879
35,Oracle Corporation,ORCL,0.646976
36,3M Company,MMM,0.601952
37,NVIDIA Corporation,NVDA,0.597587
38,International Business Machines Corporation,IBM,0.578190
39,McDonald's Corporation,MCD,0.574864
40,Amgen Inc.,AMGN,0.570778
41,General Electric Company,GE,0.568213
42,Altria Group Inc.,MO,0.555234
43,Honeywell International Inc.,HON,0.504449
44,Netflix Inc.,NFLX,0.490719
45,Medtronic plc,MDT,0.481096
46,Bristol-Myers Squibb Company,BMY,0.464517
47,Gilead Sciences Inc.,GILD,0.463324
48,Union Pacific Corporation,UNP,0.445864
49,Abbott Laboratories,ABT,0.444112
50,Texas Instruments Incorporated,TXN,0.436853
51,United Technologies Corporation,UTX,0.429308
52,Schlumberger NV,SLB,0.424380
53,Broadcom Limited,AVGO,0.423261
54,Accenture Plc Class A,ACN,0.421788
55,QUALCOMM Incorporated,QCOM,0.416395
56,Adobe Systems Incorporated,ADBE,0.413775
57,Priceline Group Inc,PCLN,0.401635
58,Caterpillar Inc.,CAT,0.393779
59,Goldman Sachs Group Inc.,GS,0.392094
60,Lockheed Martin Corporation,LMT,0.376996
61,U.S. Bancorp,USB,0.376459
62,NIKE Inc. Class B,NKE,0.372316
63,PayPal Holdings Inc,PYPL,0.369443
64,Thermo Fisher Scientific Inc.,TMO,0.361352
65,Lowe's Companies Inc.,LOW,0.358919
66,Costco Wholesale Corporation,COST,0.354102
67,Starbucks Corporation,SBUX,0.347034
68,United Parcel Service Inc. Class B,UPS,0.340491
69,Time Warner Inc.,TWX,0.328414
70,Morgan Stanley,MS,0.327049
71,Eli Lilly and Company,LLY,0.325666
72,Celgene Corporation,CELG,0.324903
73,CVS Health Corporation,CVS,0.324880
74,salesforce.com inc.,CRM,0.323648
75,PNC Financial Services Group Inc.,PNC,0.323431
76,NextEra Energy Inc.,NEE,0.309864
77,Charter Communications Inc. Class A,CHTR,0.306859
78,Biogen Inc.,BIIB,0.297746
79,Chubb Limited,CB,0.295329
80,Mondelez International Inc. Class A,MDLZ,0.290763
81,ConocoPhillips,COP,0.288746
82,American Express Company,AXP,0.288720
83,BlackRock Inc.,BLK,0.285383
84,Colgate-Palmolive Company,CL,0.275161
85,Anthem Inc.,ANTM,0.268608
86,Walgreens Boots Alliance Inc,WBA,0.267746
87,FedEx Corporation,FDX,0.267687
88,Charles Schwab Corporation,SCHW,0.264558
89,EOG Resources Inc.,EOG,0.263620
90,Aetna Inc.,AET,0.263334
91,Raytheon Company,RTN,0.262645
92,American Tower Corporation,AMT,0.259727
93,General Dynamics Corporation,GD,0.259216
94,Danaher Corporation,DHR,0.255828
95,Northrop Grumman Corporation,NOC,0.255342
96,Becton Dickinson and Company,BDX,0.254732
97,Allergan plc,AGN,0.249279
98,Bank of New York Mellon Corporation,BK,0.247503
99,American International Group Inc.,AIG,0.238055
100,Occidental Petroleum Corporation,OXY,0.237592
101,General Motors Company,GM,0.236363
102,Monsanto Company,MON,0.236198
103,CME Group Inc. Class A,CME,0.236147
104,Duke Energy Corporation,DUK,0.234869
105,Activision Blizzard Inc.,ATVI,0.224906
106,Deere & Company,DE,0.222432
107,Applied Materials Inc.,AMAT,0.220445
108,Illinois Tool Works Inc.,ITW,0.219869
109,Automatic Data Processing Inc.,ADP,0.219255
110,Stryker Corporation,SYK,0.215275
111,Simon Property Group Inc.,SPG,0.214721
112,TJX Companies Inc,TJX,0.213735
113,Dominion Energy Inc,D,0.212946
114,MetLife Inc.,MET,0.212626
115,Cigna Corporation,CI,0.211727
116,Micron Technology Inc.,MU,0.209010
117,CSX Corporation,CSX,0.204648
118,S&P Global Inc.,SPGI,0.202275
119,Capital One Financial Corporation,COF,0.201786
120,Cognizant Technology Solutions Corporation Class A,CTSH,0.200159
121,Prudential Financial Inc.,PRU,0.200157
122,Southern Company,SO,0.197499
123,Emerson Electric Co.,EMR,0.193390
124,Intuitive Surgical Inc.,ISRG,0.193154
125,Kraft Heinz Company,KHC,0.193022
126,Crown Castle International Corp,CCI,0.190594
127,Express Scripts Holding Company,ESRX,0.188467
128,Halliburton Company,HAL,0.187557
129,Praxair Inc.,PX,0.187057
130,Marriott International Inc. Class A,MAR,0.186009
131,Marsh & McLennan Companies Inc.,MMC,0.184605
132,Ford Motor Company,F,0.184385
133,BB&T Corporation,BBT,0.182801
134,eBay Inc.,EBAY,0.180804
135,Kimberly-Clark Corporation,KMB,0.179580
136,Norfolk Southern Corporation,NSC,0.179569
137,Phillips 66,PSX,0.179397
138,Intercontinental Exchange Inc.,ICE,0.178155
139,Target Corporation,TGT,0.175475
140,Valero Energy Corporation,VLO,0.173148
141,Vertex Pharmaceuticals Incorporated,VRTX,0.172745
142,Humana Inc.,HUM,0.171222
143,Intuit Inc.,INTU,0.167684
144,Travelers Companies Inc.,TRV,0.167601
145,State Street Corporation,STT,0.166717
146,Twenty-First Century Fox Inc. Class A,FOXA,0.165004
147,Constellation Brands Inc. Class A,STZ,0.162705
148,Electronic Arts Inc.,EA,0.162313
149,Zoetis Inc. Class A,ZTS,0.158776
150,Eaton Corp. Plc,ETN,0.158697
151,Exelon Corporation,EXC,0.156202
152,Boston Scientific Corporation,BSX,0.155980
153,LyondellBasell Industries NV,LYB,0.155108
154,Johnson Controls International plc,JCI,0.154362
155,Aon plc,AON,0.154231
156,Delta Air Lines Inc.,DAL,0.153925
157,TE Connectivity Ltd.,TEL,0.152137
158,Ecolab Inc.,ECL,0.151359
159,Air Products and Chemicals Inc.,APD,0.151031
160,HP Inc.,HPQ,0.150313
161,Aflac Incorporated,AFL,0.148670
162,Allstate Corporation,ALL,0.146553
163,Kinder Morgan Inc Class P,KMI,0.145408
164,Equinix Inc.,EQIX,0.145389
165,Sherwin-Williams Company,SHW,0.144672
166,Waste Management Inc.,WM,0.144546
167,McKesson Corporation,MCK,0.143426
168,SunTrust Banks Inc.,STI,0.142690
169,Baxter International Inc.,BAX,0.141784
170,Anadarko Petroleum Corporation,APC,0.141462
171,American Electric Power Company Inc.,AEP,0.140740
172,Prologis Inc.,PLD,0.140740
173,Fidelity National Information Services Inc.,FIS,0.140382
174,General Mills Inc.,GIS,0.139194
175,Marathon Petroleum Corporation,MPC,0.139190
176,Southwest Airlines Co.,LUV,0.138176
177,Illumina Inc.,ILMN,0.137879
178,Analog Devices Inc.,ADI,0.137149
179,Progressive Corporation,PGR,0.134103
180,Estee Lauder Companies Inc. Class A,EL,0.132998
181,Ross Stores Inc.,ROST,0.131281
182,Pioneer Natural Resources Company,PXD,0.129727
183,PPG Industries Inc.,PPG,0.128019
184,Fiserv Inc.,FISV,0.126527
185,HCA Healthcare Inc,HCA,0.125114
186,Sysco Corporation,SYY,0.125082
187,Carnival Corporation,CCL,0.122949
188,Public Storage,PSA,0.122507
189,M&T Bank Corporation,MTB,0.121738
190,Discover Financial Services,DFS,0.119376
191,Roper Technologies Inc.,ROP,0.119317
192,Lam Research Corporation,LRCX,0.118956
193,Synchrony Financial,SYF,0.118128
194,Cummins Inc.,CMI,0.118082
195,Edwards Lifesciences Corporation,EW,0.117942
196,DXC Technology Co.,DXC,0.117836
197,Amphenol Corporation Class A,APH,0.117285
198,V.F. Corporation,VFC,0.117102
199,Sempra Energy,SRE,0.116684
200,Yum! Brands Inc.,YUM,0.116664
201,Monster Beverage Corporation,MNST,0.116249
202,Weyerhaeuser Company,WY,0.114999
203,Moody's Corporation,MCO,0.114678
204,Regeneron Pharmaceuticals Inc.,REGN,0.112704
205,Corning Inc,GLW,0.112221
206,T. Rowe Price Group,TROW,0.112038
207,Dollar General Corporation,DG,0.112031
208,Kroger Co.,KR,0.111770
209,Alexion Pharmaceuticals Inc.,ALXN,0.110004
210,Hewlett Packard Enterprise Co.,HPE,0.108855
211,Dollar Tree Inc.,DLTR,0.108684
212,Aptiv PLC,APTV,0.108559
213,Western Digital Corporation,WDC,0.107418
214,Public Service Enterprise Group Inc,PEG,0.106820
215,Archer-Daniels-Midland Company,ADM,0.106580
216,Williams Companies Inc.,WMB,0.106533
217,PACCAR Inc,PCAR,0.106151
218,Stanley Black & Decker Inc.,SWK,0.105339
219,Consolidated Edison Inc.,ED,0.105069
220,Zimmer Biomet Holdings Inc.,ZBH,0.104965
221,Freeport-McMoRan Inc.,FCX,0.104756
222,Parker-Hannifin Corporation,PH,0.104601
223,International Paper Company,IP,0.104598
224,Rockwell Automation Inc.,ROK,0.104360
225,Autodesk Inc.,ADSK,0.104063
226,Ameriprise Financial Inc.,AMP,0.103297
227,Red Hat Inc.,RHT,0.101329
228,ONEOK Inc.,OKE,0.101176
229,Ingersoll-Rand Plc,IR,0.100428
230,Tyson Foods Inc. Class A,TSN,0.099681
231,Fifth Third Bancorp,FITB,0.099611
232,KeyCorp,KEY,0.099461
233,Rockwell Collins Inc.,COL,0.097751
234,Xcel Energy Inc.,XEL,0.097394
235,O'Reilly Automotive Inc.,ORLY,0.097303
236,Dr Pepper Snapple Group Inc.,DPS,0.097279
237,AvalonBay Communities Inc.,AVB,0.096068
238,Fortive Corp.,FTV,0.095887
239,Mylan N.V.,MYL,0.095378
240,Royal Caribbean Cruises Ltd.,RCL,0.095241
241,American Airlines Group Inc.,AAL,0.094945
242,Cardinal Health Inc.,CAH,0.094917
243,Agilent Technologies Inc.,A,0.094814
244,Regions Financial Corporation,RF,0.094221
245,Citizens Financial Group Inc.,CFG,0.094163
246,Concho Resources Inc.,CXO,0.093792
247,Northern Trust Corporation,NTRS,0.093441
248,Willis Towers Watson Public Limited Company,WLTW,0.092568
249,Digital Realty Trust Inc.,DLR,0.091886
250,Welltower Inc.,HCN,0.091811
251,Equity Residential,EQR,0.091620
252,PPL Corporation,PPL,0.090632
253,Paychex Inc.,PAYX,0.089661
254,AutoZone Inc.,AZO,0.089601
255,PG&E Corporation,PCG,0.088263
256,Newmont Mining Corporation,NEM,0.088228
257,Cerner Corporation,CERN,0.087248
258,Nucor Corporation,NUE,0.086954
259,SBA Communications Corp. Class A,SBAC,0.086932
260,Hartford Financial Services Group Inc.,HIG,0.086327
261,Edison International,EIX,0.085454
262,CBS Corporation Class B,CBS,0.085202
263,WEC Energy Group Inc,WEC,0.084876
264,Microchip Technology Incorporated,MCHP,0.084725
265,Devon Energy Corporation,DVN,0.083019
266,Skyworks Solutions Inc.,SWKS,0.082696
267,Ventas Inc.,VTR,0.082233
268,Harris Corporation,HRS,0.081074
269,Omnicom Group Inc,OMC,0.080729
270,DTE Energy Company,DTE,0.079801
271,Eversource Energy,ES,0.079556
272,Best Buy Co. Inc.,BBY,0.079403
273,MGM Resorts International,MGM,0.078482
274,Centene Corporation,CNC,0.078136
275,Boston Properties Inc.,BXP,0.077960
276,Laboratory Corporation of America Holdings,LH,0.075706
277,AMETEK Inc.,AME,0.075319
278,Kellogg Company,K,0.074304
279,United Continental Holdings Inc.,UAL,0.073950
280,Clorox Company,CLX,0.073637
281,Lincoln National Corporation,LNC,0.073311
282,Huntington Bancshares Incorporated,HBAN,0.073293
283,Principal Financial Group Inc.,PFG,0.072581
284,Mohawk Industries Inc.,MHK,0.072579
285,Global Payments Inc.,GPN,0.072521
286,Hilton Worldwide Holdings Inc,HLT,0.072465
287,Motorola Solutions Inc.,MSI,0.072432
288,Vulcan Materials Company,VMC,0.072105
289,IHS Markit Ltd.,INFO,0.071953
290,Align Technology Inc.,ALGN,0.071874
291,Symantec Corporation,SYMC,0.071831
292,Xilinx Inc.,XLNX,0.071279
293,Comerica Incorporated,CMA,0.070834
294,CenturyLink Inc.,CTL,0.070731
295,Mettler-Toledo International Inc.,MTD,0.070721
296,WestRock Co.,WRK,0.070343
297,L3 Technologies Inc.,LLL,0.070021
298,KLA-Tencor Corporation,KLAC,0.069734
299,Waters Corporation,WAT,0.069190
300,AmerisourceBergen Corporation,ABC,0.068641
301,Expedia Inc.,EXPE,0.068565
302,NetApp Inc.,NTAP,0.068307
303,D.R. Horton Inc.,DHI,0.068078
304,Dover Corporation,DOV,0.067693
305,Twenty-First Century Fox Inc. Class B,FOX,0.067513
306,Fastenal Company,FAST,0.067357
307,IDEXX Laboratories Inc.,IDXX,0.067222
308,Textron Inc.,TXT,0.066891
309,Incyte Corporation,INCY,0.066613
310,Conagra Brands Inc.,CAG,0.066326
311,Republic Services Inc.,RSG,0.065255
312,Verisk Analytics Inc,VRSK,0.065026
313,Essex Property Trust Inc.,ESS,0.064689
314,Apache Corporation,APA,0.064474
315,Genuine Parts Company,GPC,0.064335
316,TransDigm Group Incorporated,TDG,0.063551
317,Andeavor,ANDV,0.063146
318,IQVIA Holdings Inc,IQV,0.062930
319,Host Hotels & Resorts Inc.,HST,0.062692
320,Seagate Technology PLC,STX,0.062490
321,Molson Coors Brewing Company Class B,TAP,0.062153
322,Eastman Chemical Company,EMN,0.062120
323,Tapestry Inc.,TPR,0.062064
324,Hershey Company,HSY,0.062023
325,Equifax Inc.,EFX,0.061736
326,United Rentals Inc.,URI,0.061451
327,Wynn Resorts Limited,WYNN,0.061275
328,American Water Works Company Inc.,AWK,0.061265
329,FirstEnergy Corp.,FE,0.061253
330,GGP Inc.,GGP,0.061251
331,Total System Services Inc.,TSS,0.061220
332,Newell Brands Inc,NWL,0.060973
333,W.W. Grainger Inc.,GWW,0.060860
334,Ball Corporation,BLL,0.060850
335,E*TRADE Financial Corporation,ETFC,0.060735
336,Realty Income Corporation,O,0.060733
337,J. M. Smucker Company,SJM,0.060718
338,Quest Diagnostics Incorporated,DGX,0.059790
339,Martin Marietta Materials Inc.,MLM,0.059676
340,DENTSPLY SIRONA Inc.,XRAY,0.059507
341,Marathon Oil Corporation,MRO,0.059411
342,Invesco Ltd.,IVZ,0.059082
343,Masco Corporation,MAS,0.058860
344,Entergy Corporation,ETR,0.058340
345,Cintas Corporation,CTAS,0.057687
346,TechnipFMC Plc,FTI,0.057683
347,C.H. Robinson Worldwide Inc.,CHRW,0.057628
348,Loews Corporation,L,0.057303
349,ANSYS Inc.,ANSS,0.057148
350,Xylem Inc.,XYL,0.057045
351,Ameren Corporation,AEE,0.057026
352,Cboe Global Markets Inc,CBOE,0.056874
353,ResMed Inc.,RMD,0.056849
354,CBRE Group Inc. Class A,CBG,0.056652
355,Franklin Resources Inc.,BEN,0.056463
356,Brown-Forman Corporation Class B,BF.B,0.056149
357,Noble Energy Inc.,NBL,0.055977
358,Synopsys Inc.,SNPS,0.055882
359,National Oilwell Varco Inc.,NOV,0.055831
360,Whirlpool Corporation,WHR,0.055393
361,Ulta Beauty Inc,ULTA,0.054974
362,Citrix Systems Inc.,CTXS,0.054931
363,Church & Dwight Co. Inc.,CHD,0.054711
364,McCormick & Company Incorporated,MKC,0.054498
365,CarMax Inc.,KMX,0.054329
366,Lennar Corporation Class A,LEN,0.054262
367,Wyndham Worldwide Corporation,WYN,0.053809
368,L Brands Inc.,LB,0.053506
369,CMS Energy Corporation,CMS,0.053414
370,LKQ Corporation,LKQ,0.053233
371,Baker Hughes a GE Company Class A,BHGE,0.052895
372,Albemarle Corporation,ALB,0.052519
373,Alliance Data Systems Corporation,ADS,0.052334
374,Arthur J. Gallagher & Co.,AJG,0.052247
375,Viacom Inc. Class B,VIAB,0.052081
376,PVH Corp.,PVH,0.051920
377,Hess Corporation,HES,0.051644
378,Vornado Realty Trust,VNO,0.051430
379,Darden Restaurants Inc.,DRI,0.051362
380,EQT Corporation,EQT,0.051325
381,Nielsen Holdings Plc,NLSN,0.051079
382,Henry Schein Inc.,HSIC,0.050670
383,DaVita Inc.,DVA,0.050525
384,Perrigo Co. Plc,PRGO,0.050524
385,Raymond James Financial Inc.,RJF,0.050481
386,Pentair plc,PNR,0.050163
387,Kansas City Southern,KSU,0.049969
388,XL Group Ltd,XL,0.049957
389,Alexandria Real Estate Equities Inc.,ARE,0.049616
390,Hasbro Inc.,HAS,0.049592
391,Unum Group,UNM,0.049520
392,CenterPoint Energy Inc.,CNP,0.049516
393,Cabot Oil & Gas Corporation,COG,0.049361
394,Hologic Inc.,HOLX,0.049118
395,Expeditors International of Washington Inc.,EXPD,0.048944
396,Akamai Technologies Inc.,AKAM,0.048917
397,International Flavors & Fragrances Inc.,IFF,0.048856
398,Cooper Companies Inc.,COO,0.048655
399,FMC Corporation,FMC,0.048154
400,Kohl's Corporation,KSS,0.047918
401,Varian Medical Systems Inc.,VAR,0.047761
402,Cadence Design Systems Inc.,CDNS,0.047538
403,Cincinnati Financial Corporation,CINF,0.047485
404,Gartner Inc.,IT,0.047392
405,Packaging Corporation of America,PKG,0.047359
406,HCP Inc.,HCP,0.047272
407,BorgWarner Inc.,BWA,0.046807
408,Arconic Inc.,ARNC,0.046686
409,Huntington Ingalls Industries Inc.,HII,0.046390
410,CA Inc.,CA,0.046260
411,Zions Bancorporation,ZION,0.046212
412,Universal Health Services Inc. Class B,UHS,0.045984
413,Affiliated Managers Group Inc.,AMG,0.045910
414,Tiffany & Co.,TIF,0.045897
415,J.B. Hunt Transport Services Inc.,JBHT,0.045438
416,DISH Network Corporation Class A,DISH,0.044674
417,Everest Re Group Ltd.,RE,0.044508
418,Norwegian Cruise Line Holdings Ltd.,NCLH,0.044445
419,Avery Dennison Corporation,AVY,0.044058
420,Qorvo Inc.,QRVO,0.043960
421,Mid-America Apartment Communities Inc.,MAA,0.043278
422,Extra Space Storage Inc.,EXR,0.043221
423,Fortune Brands Home & Security Inc.,FBHS,0.042564
424,Coty Inc. Class A,COTY,0.042409
425,VeriSign Inc.,VRSN,0.042404
426,Cimarex Energy Co.,XEC,0.042294
427,Juniper Networks Inc.,JNPR,0.042147
428,SL Green Realty Corp.,SLG,0.041686
429,Michael Kors Holdings Ltd,KORS,0.041090
430,Advanced Micro Devices Inc.,AMD,0.040815
431,Snap-on Incorporated,SNA,0.040592
432,Torchmark Corporation,TMK,0.040287
433,F5 Networks Inc.,FFIV,0.040109
434,A. O. Smith Corporation,AOS,0.039823
435,Nasdaq Inc.,NDAQ,0.039687
436,Western Union Company,WU,0.039433
437,Tractor Supply Company,TSCO,0.039207
438,Duke Realty Corporation,DRE,0.039151
439,UDR Inc.,UDR,0.039150
440,Campbell Soup Company,CPB,0.039132
441,CF Industries Holdings Inc.,CF,0.039038
442,Hormel Foods Corporation,HRL,0.038604
443,Iron Mountain Inc.,IRM,0.038261
444,Alliant Energy Corp,LNT,0.038253
445,Interpublic Group of Companies Inc.,IPG,0.038149
446,Mosaic Company,MOS,0.037864
447,Harley-Davidson Inc.,HOG,0.037820
448,Pinnacle West Capital Corporation,PNW,0.036761
449,Regency Centers Corporation,REG,0.036669
450,Scripps Networks Interactive Inc. Class A,SNI,0.036573
451,Advance Auto Parts Inc.,AAP,0.035851
452,Leucadia National Corporation,LUK,0.035372
453,Alaska Air Group Inc.,ALK,0.035257
454,Federal Realty Investment Trust,FRT,0.035202
455,PulteGroup Inc.,PHM,0.035184
456,Goodyear Tire & Rubber Company,GT,0.034962
457,PerkinElmer Inc.,PKI,0.034868
458,Sealed Air Corporation,SEE,0.034864
459,NiSource Inc,NI,0.034352
460,Jacobs Engineering Group Inc.,JEC,0.034245
461,Fluor Corporation,FLR,0.034153
462,NRG Energy Inc.,NRG,0.033383
463,Macy's Inc,M,0.033089
464,Allegion PLC,ALLE,0.033074
465,Hanesbrands Inc.,HBI,0.033026
466,Garmin Ltd.,GRMN,0.031880
467,Gap Inc.,GPS,0.031270
468,Helmerich & Payne Inc.,HP,0.031196
469,Robert Half International Inc.,RHI,0.030419
470,Chipotle Mexican Grill Inc.,CMG,0.030088
471,AES Corporation,AES,0.029525
472,People's United Financial Inc.,PBCT,0.028880
473,Macerich Company,MAC,0.028659
474,Xerox Corporation,XRX,0.028565
475,FLIR Systems Inc.,FLIR,0.028401
476,Acuity Brands Inc.,AYI,0.028183
477,Stericycle Inc.,SRCL,0.026694
478,Apartment Investment and Management Company Class A,AIV,0.026640
479,Leggett & Platt Incorporated,LEG,0.026531
480,News Corporation Class A,NWSA,0.026496
481,Kimco Realty Corporation,KIM,0.026285
482,Ralph Lauren Corporation Class A,RL,0.026109
483,Foot Locker Inc.,FL,0.025800
484,Brighthouse Financial Inc.,BHF,0.024846
485,Nordstrom Inc.,JWN,0.024736
486,Mattel Inc.,MAT,0.024220
487,Flowserve Corporation,FLS,0.023653
488,H&R Block Inc.,HRB,0.023568
489,Newfield Exploration Company,NFX,0.023283
490,CSRA Inc.,CSRA,0.022832
491,SCANA Corporation,SCG,0.022647
492,Quanta Services Inc.,PWR,0.022638
493,Assurant Inc.,AIZ,0.021369
494,Discovery Communications Inc. Class C,DISCK,0.020980
495,TripAdvisor Inc.,TRIP,0.020300
496,Envision Healthcare Corp.,EVHC,0.018525
497,Navient Corp,NAVI,0.015974
498,Discovery Communications Inc. Class A,DISCA,0.015306
499,Signet Jewelers Limited,SIG,0.013452
500,Range Resources Corporation,RRC,0.013120
501,Patterson Companies Inc.,PDCO,0.012231
502,Chesapeake Energy Corporation,CHK,0.011608
503,Under Armour Inc. Class A,UAA,0.010640
504,Under Armour Inc. Class C,UA,0.009739
505,News Corporation Class B,NWS,0.007826
